"status","year ","wage","state","occupational_group","job_title","employer_name"
"CERTIFIED","2011","90100.0","PA","Computer Programmers","COMPUTER PROGRAMMER/CONFIGURER 3","ACCENTURE LLP"
"CERTIFIED","2011","62600.0","MN","Computer Programmers","COMPUTER PROGRAMMER","TATA CONSULTANCY SERVICES LIMITED"
"CERTIFIED","2011","54392.0","CA","Market Research Analysts","ANALYST, DISTRIBUTION","ADCHEMY, INC."
"CERTIFIED","2011","60195.0","MA","Healthcare Practitioners and Technical Workers, Al","FELLOW","TUFTS MEDICAL CENTER"
"CERTIFIED","2011","42000.0","TX","Accountants","ACCOUNTANT","KING FUELS, INC."
"CERTIFIED","2011","65000.0","MI","Electrical Engineers","LEAD TEST ENGINEER","P3 NORTH AMERICA, INC."
"CERTIFIED","2011","56500.0","CT","Computer Specialists, All Other","COMPUTER SYSTEMS ENGINEER","EGB SYSTEMS AND SOLUTIONS INC"
"CERTIFIED","2011","53290.0","MD","Civil Engineers","STRUCTURAL ENGINEER","AECOM TECHNICAL SERVICES, INC."
"CERTIFIED","2011","98500.0","DE","Operations Research Analysts","RISK ANALYSIS LEAD","BARCLAYS BANK DELAWARE"
"CERTIFIED","2011","100000.0","NY","Chemists","SENIOR SCIENTIST","SCHRÖDINGER, INC."
"CERTIFIED","2011","216000.0","PA","Industrial-Organizational Psychologists","CORPORATE BEHAVIOR ANALYST","CONTINUOUS LEARNING GROUP INC."
"CERTIFIED","2011","70000.0","MN","Computer Software Engineers, Applications","SOFTWARE ENGINEER","FRONTIER TECHNOLOGIES, LLC"
"CERTIFIED","2011","84000.0","NJ","Computer Software Engineers, Applications","SOFTWARE ENGINEER","BODHTREE SOLUTIONS INC"
"CERTIFIED","2011","61000.0","FL","Chemistry Teachers, Postsecondary","ASSISTANT PROFESSOR","FLORIDA ATLANTIC UNIVERSITY"
"CERTIFIED","2011","58219.0","CA","Industrial Production Managers","INDUSTRIAL PRODUCTION MANAGER","NANSHING AMERICA, INC."
"CERTIFIED","2011","75000.0","VA","Software Quality Assurance Engineers and Testers","TESTING, PROFESSIONAL","FEDERAL HOME LOAN MORTGAGE CO."
"CERTIFIED","2011","57000.0","NJ","Computer Programmers","PROGRAMMER ANALYST","QUINTEGRA SOLUTIONS LTD."
"CERTIFIED","2011","62380.0","TX","Postsecondary Teachers, All Other","ASSISTANT PROFESSOR","TEXAS STATE UNIVERSITY-SAN MARCOS"
"CERTIFIED","2011","155000.0","PA","Physicians and Surgeons, All Other","FACULTY PHYSICIAN","SACRED HEART HOSPITAL"
"CERTIFIED","2011","110000.0","DC","Economists","SENIOR CONSULTANT","BATES WHITE, LLC"
"CERTIFIED","2011","85925.0","TX","Electronics Engineers, Except Computer","SENIOR SYSTEMS DESIGN ENGINEER","ADVANCED MICRO DEVICES, INC."
"CERTIFIED-WITHDRAWN","2011","1653000.0","CO","Physicians and Surgeons, All Other","ACADEMIC HOSPITALIST","DENVER HEALTH AND HOSPITAL AUTHORITY"
"CERTIFIED","2011","45000.0","CA","Multi-Media Artists and Animators","COMPOSITOR","PIXOMONDO LLC"
"CERTIFIED","2011","92331.0","CA","Electronics Engineers, Except Computer","SR. MEMBER OF TECHNICAL STAFF (MEMBER OF CONSULTIN","CADENCE DESIGN SYSTEMS, INC."
"CERTIFIED","2011","55100.0","TN","Financial Analysts","FINANCIAL ANALYST/BUSINESS ANALYST","RADUS TEK SERVICES INC.,"
"CERTIFIED","2011","79800.0","NC","Mechanical Engineers","MOLD CONSTRUCTION ENGINEER","PFAFF MOLDS, LP"
"CERTIFIED","2011","50000.0","NY","Computer Systems Analysts","SYSTEMS ANALYST","BIRLASOFT INC"
"CERTIFIED","2011","45100.0","IL","Accountants","ACCOUNTANT","MORNINGSTAR, INC."
"CERTIFIED","2011","73428.0","NC","Management Analysts","MANAGING CONSULTANT","IBM CORPORATION"
"CERTIFIED","2011","53000.0","PA","Computer Systems Analysts","PROGRAMMER ANALYST","VIRGO INC"
"CERTIFIED","2011","60000.0","TN","Computer Systems Analysts","SYSTEMS ANALYST","CONCH TECHNOLOGIES, INC."
"CERTIFIED","2011","62150.0","CA","Computer Programmers","PROGRAMMER  ANALYST","CG-VAK SOFTWARE USA INC"
"CERTIFIED","2011","65000.0","WA","Computer Programmers","PROGRAMMER ANALYST","STANSOURCE INC"
"DENIED","2011","95576.0","VA","Electrical Engineers","ASSOCIATE DESIGNER","CH2M HILL, INC."
"CERTIFIED","2011","56722.0","CT","Financial Analysts","EQUITY RESEARCH ANALYST","THOMSON HORSTMANN & BRYANT, INC."
"CERTIFIED","2011","55000.0","MA","Market Research Analysts","BUSINESS ANALYST","ADHARMONICS, INC."
"CERTIFIED","2011","61000.0","NY","Civil Engineers","PROJECT ENGINEER","SEVENBERRY CONTRUCTION LLC"
"CERTIFIED","2011","50500.0","FL","Computer Systems Analysts","PROGRAMMER ANALYST","TERASOFT INTERNATIONAL INC."
"CERTIFIED","2011","76000.0","CA","Computer Software Engineers, Applications","SOFTWARE ENGINEER","E-BUSINESS INTERNATIONAL INC"
"DENIED","2011","88000.0","TN","Actuaries","ASSISTANT ACTUARY","AGLA SERVICES COMPANY LLC"
"CERTIFIED","2011","134544.0","CA","Computer Software Engineers, Applications","SENIOR COMPUTER SCIENTIST","ADOBE SYSTEMS INCORPORATED"
"CERTIFIED","2011","37439.0","OR","Teachers and Instructors, All Other","PORTUGUESE LANGUAGE INSTRUCTOR","UNIVERSITY OF OREGON"
"CERTIFIED","2011","83000.0","CA","Electrical Engineers","DESIGN ENGINEER","SANDISK CORPORATION"
"CERTIFIED","2011","60000.0","GA","Computer Programmers","PROGRAMMER ANALYST","ASSUREN RESOURCES, LLC"
"CERTIFIED","2011","63050.0","TX","Accountants and Auditors","TAX SENIOR","DELOITTE TAX LLP"
"CERTIFIED","2011","70736.0","NJ","","PROJECT MANAGER","LARSEN & TOUBRO INFOTECH LIMITED"
"CERTIFIED","2011","87205.0","WA","Computer Software Engineers, Applications","SOFTWARE DEVELOPMENT ENGINEER IN TEST","MICROSOFT CORPORATION"
"CERTIFIED","2011","63752.0","GA","Computer Software Engineers, Applications","SOFTWARE ENGINEER","PEGASYS SYSTEMS & TECHNOLOGIES, INC."
"CERTIFIED","2011","70000.0","OH","Computer Systems Analysts","SENIOR SYSTEMS BUSINESS ANALYST","SIRVA RELOCATION LLC"
"CERTIFIED","2011","90101.0","CA","Financial Analysts","FINANCIAL ANALYST (SEASONED)","HSBC BANK USA, N.A."
"DENIED","2011","67000.0","CA","Hydrologists","HYDROLOGIST","WATERCOURSE ENGINEERING, INC."
"CERTIFIED","2011","63274.0","CA","Mechanical Engineers","MECHANICAL ENGINEER","FOURTE DESIGN AND DEVELOPMENT, LLC"
"CERTIFIED","2011","55969.0","NY","Physicians and Surgeons, All Other","ASSOCIATE IN MEDICINE","COLUMBIA UNIVERSITY"
"CERTIFIED","2011","55413.0","NY","","COMPUTER PROGRAMMER","LARSEN & TOUBRO INFOTECH LIMITED"
"DENIED","2011","70000.0","NY","Computer Programmer R&D","SOFTWARE ENGINEER","SCRIBE HEALTHCARE TECHNOLOGIES, INC."
"CERTIFIED","2011","68682.0","CA","","BUSINESS SYSTEM ANALYST","WIPRO LIMITED"
"CERTIFIED","2011","150000.0","IN","Internists, General","INTERNAL MEDICINE PHYSICIAN","MIDWEST INFECTIOUS DISEASE PLLC"
"CERTIFIED","2011","51000.0","TX","Computer Systems Analysts","SYSTEMS ANALYST","CAMELOT INTEGRATED SOLUTIONS, INC."
"CERTIFIED","2011","48298.0","KS","Computer Systems Analysts","PROGRAMMER  ANALYST","NUVENTO LLC"
"WITHDRAWN","2011","65273.0","NY","Computer Systems Analysts","COMPUTER PROGRAMMER ANALYST","LARSEN & TOUBRO INFOTECH LIMITED"
"CERTIFIED","2011","104500.0","NY","Computer Software Engineers, Systems Software","SENIOR CONSULTANT","DELOITTE CONSULTING LLP"
"CERTIFIED","2011","36442.0","IL","Computer Programmers","IT ANALYST/JAVA PROGRAMMER","LG ASSOCIATES, INC."
"CERTIFIED","2011","40000.0","NY","Meeting and Convention Planners","PRODUCTION AND EVENTS COORDINATOR","ROGER PAUL INC."
"CERTIFIED","2011","39410.0","SC","Secondary School Teachers, Except Special and Voca","ART TEACHER","SPARTANBURG COUNTY SCHOOL DISTRICT SEVEN"
"CERTIFIED","2011","73486.0","RI","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","ADITI TECHNOLOGIES PVT. LTD."
"CERTIFIED","2011","109462.5","CA","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER","KLA-TENCOR CORPORATION"
"DENIED","2011","37482.0","TX","Human Resources Managers","HUMAN RESOURCES MANAGER","NOVA ASSET MANAGEMENT, INC."
"CERTIFIED","2011","86900.0","CA","Computer Software Engineers, Systems Software","SOFTWARE DEVELOPER 2","ORACLE AMERICA, INC."
"CERTIFIED","2011","60000.0","NJ","Computer Programmers","PROGRAMMER ANALYST","EVEREST CONSULTING GROUP, INC"
"DENIED","2011","31907.0","MN","Editors","RESEARCH EDITOR","INTELLECTUAL TAKEOUT"
"CERTIFIED","2011","60000.0","PA","Electronics Engineers, Except Computer","PRODUCT DESIGN ENGINEER","PMC-SIERRA US, INC."
"CERTIFIED","2011","86000.0","NY","Software Developers, Applications","LEAD - ENGINEERING","GLOBALLOGIC, INC."
"CERTIFIED","2011","52229.0","CA","Accountants","ACCOUNTANT","MITAC INFORMATION SYSTEMS CORP."
"CERTIFIED","2011","45000.0","GA","Environmental Science and Protection Technicians, ","POSTDOCTORAL FELLOW","GEORGIA INSTITUTE OF TECHNOLOGY"
"CERTIFIED","2011","52374.0","CA","Personal Financial Advisors","INVESTMENT ADVISOR","MERRILL LYNCH"
"CERTIFIED","2011","75005.0","IL","Accountants and Auditors","SENIOR AUDITOR","TAKEDA PHARMACEUTICALS NORTH AMERICA, INC."
"CERTIFIED","2011","61880.0","WA","Computer Systems Analysts","SYSTEMS ANALYST","HCL AMERICA, INC."
"WITHDRAWN","2011","140000.0","NY","Management Analysts","SENIOR MANAGER, PROGRAM MANAGEMENT","SAPIENT CORPORATION"
"CERTIFIED","2011","88000.0","VA","Chemical Engineers","CMP ENGINEER","MICRON TECHNOLOGY, INC."
"CERTIFIED","2011","37740.0","MO","Biochemists and Biophysicists","POSTDOCTORAL RESEARCH ASSOCIATE/SCHOLAR","WASHINGTON UNIVERSITY IN ST. LOUIS"
"CERTIFIED","2011","46901.0","TX","Elementary School Teachers, Except Special Educati","BILINGUAL ELEMENTARY TEACHER","DALLAS INDEPENDENT SCHOOL DISTRICT"
"DENIED","2011","63627.0","CA","Electrical Engineers","ELECTRICAL DESIGNER","PACIFIC INTERNATIONAL ELECTRIC COMPANY, INC."
"CERTIFIED","2011","65500.0","FL","Computer Programmers","TECHNICAL ANALYST","TATA CONSULTANCY SERVICES LIMITED"
"CERTIFIED","2011","105000.0","CA","General and Operations Managers","VICE PRESIDENT OF HOSPITALITY OPERATIONS","NOR1, INC."
"CERTIFIED","2011","59102.0","MO","Computer Systems Analysts","COMPUTER PROGRAMMER ANALYST","LARSEN & TOUBRO LIMITED"
"CERTIFIED","2011","67350.0","TX","","SENIOR SOFTWARE ENGINEER","IBM CORPORATION"
"CERTIFIED","2011","105100.0","WA","Computer Software Engineers, Applications","SOFTWARE DEVELOPMENT ENGINEER II","AMAZON CORPORATE LLC"
"CERTIFIED","2011","77000.0","OH","Computer Systems Analysts","SENIOR CONSULTANT","DELOITTE CONSULTING LLP"
"CERTIFIED","2011","75000.0","CA","Market Research Analysts","SALES AND MARKETING REPRESENTATIVE","C.H. ROBINSON WORLDWIDE, INC."
"CERTIFIED","2011","81370.49","NY","Computer Software Engineers, Applications","DATABASE DEVELOPER","CONSUMERS UNION OF UNITED STATES INC."
"DENIED","2011","27560.0","NY","Designers, All Other","DESIGNER","MAURICE MAX INC."
"DENIED","2011","47840.0","NY","Graphic Designers","GRAPHIC DESIGNER","PRIME FOOD PROCESSING CORP."
"CERTIFIED","2011","52624.0","TX","Computer Systems Analysts","COMPUTER SYSTEM ANALYST","TECHNOZANT LLC"
"CERTIFIED","2011","116000.0","NY","Financial Managers","ASSISTANT VICE PRESIDENT, GLOBAL TECHNOLOGY","BARCLAYS SERVICES CORP."
"CERTIFIED","2011","86400.0","TX","Electronics Engineers, Except Computer","ELECTRICAL DESIGN ENGINEER","TEXAS INSTRUMENTS INCORPORATED"
"CERTIFIED","2011","46000.0","GA","Medical Scientists, Except Epidemiologists","POSTDOCTORAL RESEARCH ASSOCIATE","THE UNIVERSITY OF GEORGIA"
"CERTIFIED","2011","38146.96","GA","Elementary School Teachers, Except Special Educati","TEACHER","HALL COUNTY SCHOOL DISTRICT"
"CERTIFIED","2011","104000.0","CA","Computer Systems Analysts","PRINCIPAL BUSINESS SYSTEMS ANALYST","SMART MODULAR TECHNOLOGIES"
"DENIED","2011","48505.0","IN","Civil Engineers","PROJECT ENGINEER I","CLARKDIETRICH ENGINEERING SERVICES LLC"
"CERTIFIED","2011","69797.0","FL","Software Quality Assurance Engineers and Testers","SYSTEMS ANALYST","COMPUGAIN CORPORATION"
"CERTIFIED","2011","83678.0","NY","Electronics Engineers, Except Computer","MTS FAILURE/DEVICE ANALYTICAL ENGINEER","GLOBALFOUNDRIES U.S. INC."
"CERTIFIED","2011","78646.0","KS","Computer Software Engineers, Applications","APPLICATIONS DEVELOPER II","SPRINT NEXTEL CORPORATION"
"CERTIFIED","2011","105643.0","CA","Computer Software Engineers, Applications","PROGRAMMER ANALYST III","WILLIAMS-SONOMA, INC."
"CERTIFIED","2011","90000.0","MA","Health Specialties Teachers, Postsecondary","ASSISTANT PROFESSOR","TUFTS UNIVERSITY SCHOOL OF DENTAL MEDICINE"
"CERTIFIED","2011","53340.0","NJ","Computer Support Specialists","COMPUTER SUPPORT SPECIALIST","MKG GLOBAL TECHNOLOGY, INC."
"DENIED","2011","50669.0","GU","Engineering Managers","ENGINEERING MANAGER","M2P, INC."
"CERTIFIED","2011","62000.0","MA","Computer Programmers","COMPUTER PROGRAMMER ANALYST","DOTCOM TEAM, LLC"
"CERTIFIED","2011","55413.0","NJ","Software Quality Assurance Engineers and Testers","SOFTWARE ENGINEER & TESTER","LARSEN & TOUBRO INFOTECH LIMITED"
"CERTIFIED","2011","95284.8","TX","Civil Engineers","ENGINEER II","WORLEYPARSONS GROUP, INC."
"CERTIFIED","2011","95000.0","DE","Actuaries","SENIOR CONSULTANT","DELOITTE CONSULTING LLP"
"CERTIFIED-WITHDRAWN","2011","65000.0","NC","Civil Engineers","ASSOCIATE CONSULTANT","AGILEASSETS INC"
"CERTIFIED","2011","65520.0","IL","Physical Therapists","PHYSICAL THERAPIST","GS INTEGRATED HEALTHCARE SYSTEMS, LLC"
"CERTIFIED","2011","80000.0","OH","Computer Software Engineers, Applications","APPLICATION DEVELOPER","JPMORGAN CHASE & CO."
"CERTIFIED","2011","70800.0","IL","Computer Software Engineers, Applications","SOFTWARE ENGINEER","FRONTIER TECHNOLOGIES, LLC"
"CERTIFIED","2011","66400.0","NJ","Web Developers","WEB DEVELOPER","TATA CONSULTANCY SERVICES LIMITED"
"CERTIFIED","2011","67000.0","MA","Urban and Regional Planners","URBAN PLANNER","NBBJ LP"
"CERTIFIED","2011","59488.0","KY","Computer Software Engineers, Applications","SENIOR UNIFIED COMMUNICATIONS ENGINEER","YUM! BRANDS, INC."
"CERTIFIED","2011","82000.0","IL","Marketing Managers","CULTURAL AMBASSADOR/SENIOR ACCOUNT EXECUTIVE","HAMILTON COMMUNICATIONS GROUP"
"CERTIFIED","2011","137497.62","DE","Pharmacists","PHARMACY MANAGER","WAL-MART ASSOCIATES, INC."
"CERTIFIED","2011","220000.0","MO","Marketing Managers","VICE PRESIDENT, BUSINESS DEVELOPMENT","RGA REINSURANCE COMPANY"
"CERTIFIED","2011","76773.0","IL","Electronics Engineers, Except Computer","SYSTEM ENGINEER","MOTOROLA SOLUTIONS, INC."
"CERTIFIED","2011","60000.0","GA","Computer Systems Analysts","SYSTEMS ANALYST","ENRICHIT, INC"
"CERTIFIED","2011","91936.0","GA","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER, APPLICATIONS","FUJITSU AMERICA, INC."
"CERTIFIED","2011","87000.0","NJ","Accountants and Auditors","AUDIT MANAGER","METLIFE GROUP, INC."
"CERTIFIED","2011","71386.0","CA","Electronics Engineers, Except Computer","SYSTEMS ENGINEER","MOTOROLA SOLUTIONS, INC."
"CERTIFIED","2011","66000.0","NC","Computer Programmers","PROGRAMMER ANALYST","TERRA INFOTECH, INC."
"CERTIFIED","2011","76939.0","MA","","PROGRAMMER ANALYST","WIPRO LIMITED"
"CERTIFIED","2011","97802.0","FL","Computer Software Engineers, Applications","CONSULTANT, TECHNICAL","NORTHGATEARINSO, INC."
"WITHDRAWN","2011","45300.0","AR","Computer Programmers","COMPUTER PROGRAMMER","UST GLOBAL INC."
"CERTIFIED","2011","52410.0","IL","Economics Teachers, Postsecondary","POSTDOCTORAL RESEARCH ASSOCIATE","UNIVERSITY OF ILLINOIS"
"CERTIFIED","2011","58843.0","IL","Computer Systems Analysts","BUSINESS ANALYST","INFOSYS TECHNOLOGIES LIMITED"
"CERTIFIED","2011","81000.0","NY","Computer Software Engineers, Applications","FRONT OFFICE DEVELOPER","BGC PARTNERS, INC."
"CERTIFIED","2011","101088.0","NY","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER, APPLICATIONS","FUJITSU AMERICA, INC."
"CERTIFIED","2011","62100.0","AZ","Computer Systems Analysts","BUSINESS ANALYST","MMC SYSTEMS INC."
"CERTIFIED","2011","47751.0","TX","Elementary School Teachers, Except Special Educati","BILINGUAL ELEMENTARY TEACHER","DALLAS INDEPENDENT SCHOOL DISTRICT"
"CERTIFIED","2011","54000.0","NY","Mathematicians","RESEARCH SCIENTIST","RESEARCH FOUNDATION OF THE STATE UNIVERSITY OF NEW"
"CERTIFIED","2011","53000.0","TX","Computer Programmers","PROGRAMMER ANALYST","SWINSOFT, INC."
"CERTIFIED","2011","63500.0","FL","Computer Software Engineers, Systems Software","GEOGRAPHIC SOLUTIONS, INC.","GEOGRAPHIC SOLUTIONS, INC."
"CERTIFIED","2011","40000.0","CA","Biochemists and Biophysicists","POSTDOCTORAL SCHOLAR","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO"
"CERTIFIED","2011","66400.0","NJ","Web Developers","WEB DEVELOPER","TATA CONSULTANCY SERVICES LIMITED"
"CERTIFIED","2011","75179.0","TX","Accountants","ACCOUNTING SUPPORT SPECIALIST","SUNGARD PUBLIC SECTOR, INC."
"CERTIFIED","2011","63918.0","NC","","COMPUTER PROGRAMMER ANALYST","ARICENT TECHNOLOGIES (HOLDINGS) LTD."
"CERTIFIED","2011","125000.0","WA","Computer Software Engineers, Applications","TECHNICAL PROGRAM MANAGER","AMAZON CORPORATE LLC"
"CERTIFIED","2011","54300.0","NC","Biochemists and Biophysicists","RESEARCH FELLOW","NATIONAL INSTITUTES OF HEALTH, HHS"
"CERTIFIED","2011","59000.0","NJ","Software Quality Assurance Engineers and Testers","QUALITY ASSURANCE SPECIALIST","PRIMESOFT, INC"
"CERTIFIED","2011","38000.0","CA","Market Research Analysts","TRADE ANALYST","A-L-L MAGNETICS, INC."
"CERTIFIED","2011","58302.0","OH","Dentists, General","GENERAL DENTIST","DRS. MARINO, NASSIF & ASSOCIATES DBA DRS. RHODES, "
"CERTIFIED","2011","66100.0","OH","Computer Systems Analysts","COMPUTER SYSTEMS ANALYSTS","PATNI AMERICAS, INC."
"CERTIFIED","2011","52000.0","NH","Industrial Engineers","ENGINEER","KIEFEL TECHNOLOGIES, INC."
"CERTIFIED","2011","75629.0","CA","Computer Systems Analysts","PROGRAMMER ANALYST","SVAM INTERNATIONAL, INC."
"CERTIFIED","2011","41170.0","MD","Special Education Teachers, Preschool, Kindergarte","TEACHER, SPECIAL EDUCATION","BALTIMORE CITY PUBLIC SCHOOLS"
"CERTIFIED-WITHDRAWN","2011","77500.0","MI","Mechanical Engineers","THERMAL APPLICATIONS ENGINEER","EXA CORPORATION"
"CERTIFIED","2011","75500.0","TX","Mechanical Engineers","DRILLING & COMPLETIONS PROJECT CONSULTANT","T H HILL ASSOCIATES, INC."
"CERTIFIED","2011","330000.0","TN","Physicians and Surgeons, All Other","PHYSICIAN","HEART CENTER OF MEMPHIS, PLLC"
"CERTIFIED","2011","150000.0","GA","General and Operations Managers","DIRECTOR","THE UNIVERSITY OF GEORGIA"
"CERTIFIED","2011","83400.0","NM","Physicists","POSTDOCTORAL APOINTEE","SANDIA NATIONAL LABORATORIES"
"CERTIFIED","2011","42224.0","AL","Chemistry Teachers, Postsecondary","POST-DOCTORATE","THE UNIVERSITY OF ALABAMA"
"CERTIFIED","2011","47839.92","WA","Materials Scientists","POSTDOCTORAL RESEARCH ASSOCIATE","WASHINGTON STATE UNIVERSITY"
"CERTIFIED","2011","63024.0","GA","Computer Programmers","SOFTWARE ENGINEER II","ECHOSTAR DATA NETWORKS"
"CERTIFIED","2011","57000.0","NY","Speech-Language Pathologists","CLINICAL FELLOW","THERACARE OF NEW YORK, INC."
"CERTIFIED","2011","67000.0","TX","Network and Computer Systems Administrators","SYSTEMS ADMINISTRATOR","PREMIER IT SOLUTIONS INC"
"DENIED","2011","46000.0","PA","Political Science Teachers, Postsecondary","POLITICAL SCIENCE TEACHERS, POSTSECONDARY","NEUMANN UNIVERSITY"
"CERTIFIED-WITHDRAWN","2011","74646.0","OR","Electronics Engineers, Except Computer","COMPONENT DESIGN ENGINEER","INTEL CORPORATION"
"CERTIFIED","2011","110600.0","CA","Computer Software Engineers, Systems Software","SYSTEMS ENGINEER - LEAD","E. & J. GALLO WINERY"
"CERTIFIED","2011","112000.0","NJ","Computer Software Engineers, Applications","ASSISTANT VICE PRESIDENT","CREDIT SUISSE SECURITIES (USA) LLC"
"CERTIFIED","2011","66560.0","MI","Mechanical Engineers","TEAMCENTER CONSULTANT ENGINEER","TATA TECHNOLOGIES, INC."
"CERTIFIED","2011","54000.0","TX","Computer Programmers","PROGRAMMER ANALYST","UNIVERSAL INFOTECH SERVICES, INC"
"CERTIFIED","2011","80340.0","CA","Computer Software Engineers, Systems Software","SENIOR SYSTEMS ENGINEER, SOFTWARE","QUALCOMM INCORPORATED"
"CERTIFIED","2011","90000.0","NY","Economists","ASSOCIATE","MACQUARIE HOLDINGS (USA) INC."
"CERTIFIED","2011","55000.0","MI","Computer Software Engineers, Applications","SOFTWARE ENGINEER","GEMOORES, INC."
"CERTIFIED","2011","257436.0","WA","Physicians and Surgeons, All Other","STAFF PHYSICIAN - NEURORADIOLOGIST","DEPARTMENT OF VETERANS AFFAIRS PUGET SOUND HEALTH "
"CERTIFIED","2011","90000.0","MA","Statisticians","SENIOR PROGRAMMER","SANOFI-AVENTIS U.S. INC"
"DENIED","2011","44000.0","UT","Physicists","POSTDOCTORAL ASSOCIATE","UNIVERSITY OF UTAH"
"CERTIFIED","2011","118560.0","MD","Pharmacists","PHARMACIST","SHOPPERS (A SUBSIDIARY OF SUPERVALU)"
"CERTIFIED","2011","60000.0","NJ","Computer Programmers","PROGRAMMER ANALYST","3I INFOTECH, INC."
"CERTIFIED","2011","98000.0","CA","Computer Software Engineers, Systems Software","SOFTWARE SYSTEMS ENGINEER","TYCO ELECTRONICS CORPORATION, A TE CONNECTIVITY LT"
"CERTIFIED","2011","54662.0","NY","Accountants","TAX STAFF","ERNST & YOUNG U.S. LLP"
"DENIED","2011","55000.0","PA","Computer Systems Analysts","SYSTEMS ANALYST","XPERT TECHNOLOGIES INC"
"CERTIFIED","2011","66144.0","OH","","SENIOR SYSTEM ENGINEER","IBM INDIA PRIVATE LIMITED"
"WITHDRAWN","2011","160000.0","IN","Internists, General","PHYSICIAN (INTERNAL MEDICINE)","ST. VINCENT MEDICAL GROUP"
"CERTIFIED","2011","100000.0","NY","Financial Analysts","ASSOCIATE","LEXINGTON PARTNERS, INC."
"CERTIFIED","2011","75794.0","OR","Electronics Engineers, Except Computer","COMPONENT DESIGN ENGINEER","INTEL CORPORATION"
"CERTIFIED","2011","66400.0","NJ","Software Quality Assurance Engineers and Testers","SOFTWARE QUALITY ASSURANCE ENGINEER","TATA CONSULTANCY SERVICES LIMITED"
"CERTIFIED","2011","127878.0","CA","Computer Software Engineers, Applications","MANAGER","CAPGEMINI U.S. LLC"
"CERTIFIED","2011","39253.25","WA","Biological Technicians","RESEARCH TECHNICIAN","FRED HUTCHINSON CANCER RESEARCH CENTER"
"CERTIFIED","2011","75000.0","CA","Computer Systems Analysts","SENIOR TECHNICAL CONSULTANT","GSPANN TECHNOLOGIES, INC."
"DENIED","2011","53581.0","PA","Medical Scientists, Except Epidemiologists","CLINICAL RESEARCH MANAGER","ADVANCED LABORATORY SERVICES, INC."
"DENIED","2011","90000.0","VA","Computer Software Engineers, Applications","DATA MODELLING SPECIALIST","TRILLION TECHNOLOGY SOLUTIONS, INC."
"CERTIFIED","2011","58000.0","OH","Computer Programmers","COMPUTER PROGRAMMER","TATA CONSULTANCY SERVICES LIMITED"
"CERTIFIED","2011","75000.0","NC","Operations Research Analysts","QUANTITATIVE ASSOCIATE","BANK OF AMERICA N.A."
"CERTIFIED","2011","52395.0","OH","Computer Programmers","PROGRAMMER/ANALYST","S4 CONSULTANTS INC"
"CERTIFIED","2011","64959.96","TX","Management Analysts","BUSINESS ANALYST, SENIOR","FLOWSERVE MANAGEMENT COMPANY"
"CERTIFIED","2011","92262.84","MA","Chemical Engineers","DEVELOPMENT ENGINEER III","MILLIPORE CORPORATION"
"CERTIFIED","2011","62000.0","TN","Business Teachers, Postsecondary","INSTRUCTOR","THE UNIVERSITY OF MEMPHIS"
"WITHDRAWN","2011","170000.0","SD","Physicians and Surgeons, All Other","HOSPITALIST - PHYSICIAN","SANFORD CLINIC"
"DENIED","2011","80000.0","NY","Market Research Analysts","BUSINESS DEVELOPMENT STRATEGIST","KIM OVITZ DESIGNS, INC."
"CERTIFIED-WITHDRAWN","2011","104458.0","CA","Computer Systems Analysts","SYSTEMS ANALYST EXECUTIVE ADVISOR SENSITIVE","WELLPOINT, INC."
"CERTIFIED","2011","75694.0","MD","Special Education Teachers, Middle School","SPECIAL EDUCATION TEACHER","BALTIMORE CITY PUBLIC SCHOOLS"
"CERTIFIED","2011","63170.0","VA","Computer Systems Analysts","PROGRAMMER ANALYST","SWANKTEK INC"
"CERTIFIED","2011","79002.0","FL","Computer Systems Analysts","IT BUSINESS SENIOR ANALYST","CITIGROUP TECHNOLOGY, INC."
"CERTIFIED-WITHDRAWN","2011","71000.0","CA","Computer Programmers","PROGRAMMER ANALYST","BUSINESS INTEGRA TECHNOLOGY SOLUTIONS INC."
"CERTIFIED","2011","149198.0","VA","Psychiatrists","PSYCHIATRIST","WOMEN'S & CHILDREN'S CENTER, LLC."
"CERTIFIED","2011","70000.0","NY","Computer Programmers","PROGRAMMER ANALYST","LEAD IT CORPORATION"
"CERTIFIED","2011","65000.0","MA","Computer Programmers",".NET DEVELOPER","STAPLES, INC."
"DENIED","2011","42890.0","NY","Purchasing Agents, Except Wholesale, Retail, and F","PURCHASING AGENT","GREAT WALL CORP."
"CERTIFIED","2011","61824.0","HI","Mathematical Science Teachers, Postsecondary","INSTRUCTOR","UNIVERSITY OF HAWAII"
"CERTIFIED","2011","76960.0","GA","Physical Therapists","PHYSICAL THERAPIST","SSC ATLANTA OPERATING COMPANY LLC"
"CERTIFIED","2011","65250.0","AR","Computer Systems Analysts","PROGRAMMER ANALYST","WAL-MART ASSOCIATES, INC."
"CERTIFIED","2011","65000.0","MI","Software Developers, Applications","SOFTWARE ENGINEER","MASTER DATA CENTER, INC."
